name,value,category
prev,,function
next,,function
reset,,function
current,,function
pos,,function
key,,function
min,,function
max,,function
array_walk,,function
array_walk_recursive,,function
in_array,,function
array_search,,function
extract,,function
compact,,function
array_fill,,function
array_fill_keys,,function
range,,function
shuffle,,function
array_pop,,function
array_shift,,function
array_unshift,,function
array_splice,,function
array_slice,,function
array_merge,,function
array_merge_recursive,,function
array_replace,,function
array_replace_recursive,,function
array_keys,,function
array_key_first,,function
array_key_last,,function
array_values,,function
array_count_values,,function
array_column,,function
array_reverse,,function
array_pad,,function
array_flip,,function
array_change_key_case,,function
array_unique,,function
array_intersect_key,,function
array_intersect_ukey,,function
array_intersect,,function
array_uintersect,,function
array_intersect_assoc,,function
array_uintersect_assoc,,function
array_intersect_uassoc,,function
array_uintersect_uassoc,,function
array_diff_key,,function
array_diff_ukey,,function
array_diff,,function
array_udiff,,function
array_diff_assoc,,function
array_diff_uassoc,,function
array_udiff_assoc,,function
array_udiff_uassoc,,function
array_multisort,,function
array_rand,,function
array_sum,,function
array_product,,function
array_reduce,,function
array_filter,,function
array_find,,function
array_find_key,,function
array_any,,function
array_all,,function
array_map,,function
array_key_exists,,function
key_exists,,function
array_chunk,,function
array_combine,,function
array_is_list,,function
base64_encode,,function
base64_decode,,function
constant,,function
ip2long,,function
long2ip,,function
getenv,,function
putenv,,function
getopt,,function
flush,,function
sleep,,function
usleep,,function
time_nanosleep,,function
time_sleep_until,,function
get_current_user,,function
get_cfg_var,,function
error_log,,function
error_get_last,,function
error_clear_last,,function
call_user_func,,function
call_user_func_array,,function
forward_static_call,,function
forward_static_call_array,,function
register_shutdown_function,,function
highlight_file,,function
show_source,,function
php_strip_whitespace,,function
highlight_string,,function
ini_get,,function
ini_get_all,,function
ini_set,,function
ini_alter,,function
ini_restore,,function
ini_parse_quantity,,function
set_include_path,,function
get_include_path,,function
print_r,,function
connection_aborted,,function
connection_status,,function
ignore_user_abort,,function
getservbyname,,function
getservbyport,,function
getprotobyname,,function
getprotobynumber,,function
register_tick_function,,function
unregister_tick_function,,function
is_uploaded_file,,function
move_uploaded_file,,function
parse_ini_file,,function
parse_ini_string,,function
sys_getloadavg,,function
get_browser,,function
crc32,,function
crypt,,function
strptime,,function
gethostname,,function
gethostbyaddr,,function
gethostbyname,,function
gethostbynamel,,function
dns_check_record,,function
checkdnsrr,,function
dns_get_record,,function
dns_get_mx,,function
getmxrr,,function
net_get_interfaces,,function
ftok,,function
hrtime,,function
md5,,function
md5_file,,function
getmyuid,,function
getmygid,,function
getmypid,,function
getmyinode,,function
getlastmod,,function
sha1,,function
sha1_file,,function
openlog,,function
closelog,,function
syslog,,function
inet_ntop,,function
inet_pton,,function
metaphone,,function
header,,function
header_remove,,function
setrawcookie,,function
setcookie,,function
http_response_code,,function
headers_sent,,function
headers_list,,function
htmlspecialchars,,function
htmlspecialchars_decode,,function
html_entity_decode,,function
htmlentities,,function
get_html_translation_table,,function
assert,,function
assert_options,,function
bin2hex,,function
hex2bin,,function
strspn,,function
strcspn,,function
nl_langinfo,,function
strcoll,,function
trim,,function
rtrim,,function
chop,,function
ltrim,,function
wordwrap,,function
explode,,function
implode,,function
join,,function
strtok,,function
strtoupper,,function
strtolower,,function
str_increment,,function
str_decrement,,function
basename,,function
dirname,,function
pathinfo,,function
stristr,,function
strstr,,function
strchr,,function
strpos,,function
stripos,,function
strrpos,,function
strripos,,function
strrchr,,function
str_contains,,function
str_starts_with,,function
str_ends_with,,function
chunk_split,,function
substr,,function
substr_replace,,function
quotemeta,,function
ord,,function
chr,,function
ucfirst,,function
lcfirst,,function
ucwords,,function
strtr,,function
strrev,,function
similar_text,,function
addcslashes,,function
addslashes,,function
stripcslashes,,function
stripslashes,,function
str_replace,,function
str_ireplace,,function
hebrev,,function
nl2br,,function
strip_tags,,function
setlocale,,function
parse_str,,function
str_getcsv,,function
str_repeat,,function
count_chars,,function
strnatcmp,,function
localeconv,,function
strnatcasecmp,,function
substr_count,,function
str_pad,,function
sscanf,,function
str_rot13,,function
str_shuffle,,function
str_word_count,,function
str_split,,function
strpbrk,,function
substr_compare,,function
utf8_encode,,function
utf8_decode,,function
opendir,,function
dir,,function
closedir,,function
chdir,,function
getcwd,,function
rewinddir,,function
readdir,,function
scandir,,function
glob,,function
exec,,function
system,,function
passthru,,function
escapeshellcmd,,function
escapeshellarg,,function
shell_exec,,function
proc_nice,,function
flock,,function
get_meta_tags,,function
pclose,,function
popen,,function
readfile,,function
rewind,,function
rmdir,,function
umask,,function
fclose,,function
feof,,function
fgetc,,function
fgets,,function
fread,,function
fopen,,function
fscanf,,function
fpassthru,,function
ftruncate,,function
fstat,,function
fseek,,function
ftell,,function
fflush,,function
fsync,,function
fdatasync,,function
fwrite,,function
fputs,,function
mkdir,,function
rename,,function
copy,,function
tempnam,,function
tmpfile,,function
file,,function
file_get_contents,,function
unlink,,function
file_put_contents,,function
fputcsv,,function
fgetcsv,,function
realpath,,function
fnmatch,,function
sys_get_temp_dir,,function
fileatime,,function
filectime,,function
filegroup,,function
fileinode,,function
filemtime,,function
fileowner,,function
fileperms,,function
filesize,,function
filetype,,function
file_exists,,function
is_writable,,function
is_writeable,,function
is_readable,,function
is_executable,,function
is_file,,function
is_dir,,function
is_link,,function
stat,,function
lstat,,function
chown,,function
chgrp,,function
lchown,,function
lchgrp,,function
chmod,,function
touch,,function
clearstatcache,,function
disk_total_space,,function
disk_free_space,,function
diskfreespace,,function
realpath_cache_get,,function
realpath_cache_size,,function
sprintf,,function
printf,,function
vprintf,,function
vsprintf,,function
fprintf,,function
vfprintf,,function
fsockopen,,function
pfsockopen,,function
http_build_query,,function
http_get_last_response_headers,,function
http_clear_last_response_headers,,function
request_parse_body,,function
image_type_to_mime_type,,function
image_type_to_extension,,function
getimagesize,,function
getimagesizefromstring,,function
phpinfo,,function
phpversion,,function
phpcredits,,function
php_sapi_name,,function
php_uname,,function
php_ini_scanned_files,,function
php_ini_loaded_file,,function
iptcembed,,function
iptcparse,,function
levenshtein,,function
readlink,,function
linkinfo,,function
symlink,,function
link,,function
mail,,function
abs,,function
ceil,,function
floor,,function
round,,function
sin,,function
cos,,function
tan,,function
asin,,function
acos,,function
atan,,function
atanh,,function
atan2,,function
sinh,,function
cosh,,function
tanh,,function
asinh,,function
acosh,,function
expm1,,function
log1p,,function
pi,,function
is_finite,,function
is_nan,,function
intdiv,,function
is_infinite,,function
pow,,function
exp,,function
log,,function
log10,,function
sqrt,,function
hypot,,function
deg2rad,,function
rad2deg,,function
bindec,,function
hexdec,,function
octdec,,function
decbin,,function
decoct,,function
dechex,,function
base_convert,,function
number_format,,function
fmod,,function
fdiv,,function
fpow,,function
microtime,,function
gettimeofday,,function
getrusage,,function
pack,,function
unpack,,function
password_get_info,,function
password_hash,,function
password_needs_rehash,,function
password_verify,,function
password_algos,,function
proc_open,,function
proc_close,,function
proc_terminate,,function
proc_get_status,,function
quoted_printable_decode,,function
quoted_printable_encode,,function
soundex,,function
stream_select,,function
stream_context_create,,function
stream_context_set_params,,function
stream_context_get_params,,function
